board_size,ratio,avg_time_sim,avg_time_markov,prob_win_n2_sim,prob_win_n3_sim,prob_win_n4_sim,prob_win_n2_markov,prob_win_n3_markov,prob_win_n4_markov
8,0.5,12.926,13.174265527230965,0.971,0.868,0.716,0.9734890033235637,0.8595882536218638,0.7207516792320194
8,1.0,38.382,39.863364932109945,0.539,0.323,0.214,0.5292622069848253,0.3254911229066795,0.20836718169413176
8,1.5,59.511,58.261536270759905,0.39,0.257,0.175,0.4016132691207342,0.26396081160514157,0.18860714332211762
8,2.0,40.434,39.98534582287539,0.506,0.288,0.173,0.5192202004914226,0.3004832035238236,0.17693865791323657
10,0.5,72.418,73.69060178789789,0.491,0.344,0.269,0.4846225982747502,0.3405517213075825,0.25945091034940326
10,1.0,36.546,35.708667769969225,0.774,0.573,0.44,0.7879726682403172,0.5948711230897554,0.4510981549064422
10,1.5,39.585,39.07274879150202,0.749,0.547,0.417,0.7439972360375654,0.5537360021327997,0.4217896735705209
10,2.0,119.057,113.27942325992564,0.259,0.149,0.075,0.2905209465680743,0.15196749235867915,0.07735115322852508
12,0.5,22.528,22.660282992030478,0.999,0.968,0.876,0.9968074779618578,0.9604867058754175,0.8683637715594849
12,1.0,38.344,36.352621733891866,0.888,0.704,0.597,0.8880940444804226,0.75290666399984,0.6328503759606554
12,1.5,159.89,156.0788217240705,0.336,0.22,0.149,0.34577837913706894,0.22841123578007363,0.1620412287562007
12,2.0,69.147,70.15512874712148,0.648,0.406,0.264,0.6381502940700337,0.4096715592721941,0.26089174159600637
14,0.5,48.784,46.754413047580684,0.897,0.767,0.638,0.9053596918303319,0.7740663144490658,0.6554861501572835
14,1.0,79.537,81.3542322027705,0.72,0.55,0.425,0.7142847830980676,0.5346935295845078,0.41057121514574363
14,1.5,91.78,94.05612903951177,0.667,0.486,0.352,0.6525700888246665,0.46791913538643004,0.3457739169652577
14,2.0,146.251,140.87822784779414,0.492,0.346,0.283,0.500620351334394,0.3657945767129503,0.2878638575088982
16,0.5,52.887,53.563710150235764,0.928,0.812,0.71,0.9233848412519818,0.8064910097803879,0.6960248039681313
16,1.0,182.481,186.69928094343751,0.495,0.369,0.298,0.49671826160282034,0.36523126372780024,0.2890362966763752
16,1.5,75.516,75.66060644470876,0.855,0.701,0.543,0.8563378346530132,0.6882189891836025,0.5449187893960244
16,2.0,798.364,755.972444869061,0.158,0.114,0.082,0.13898755977487515,0.08738635339419695,0.06130933428860331
18,0.5,70.918,70.8438101116983,0.909,0.799,0.679,0.9171179280483222,0.8002668969173822,0.6899406945460204
18,1.0,134.25,129.04380896895498,0.708,0.537,0.422,0.7227290086847249,0.5620763887832414,0.44964193017751447
18,1.5,233.35,231.15753391283243,0.465,0.312,0.213,0.4768007902291161,0.3107369094809652,0.20897431666402402
18,2.0,240.501,247.3273567062524,0.448,0.312,0.236,0.46650147253443136,0.3246724747247628,0.24024877801020608
20,0.5,283.807,285.7975726119531,0.502,0.369,0.286,0.49790992604884765,0.3590241804170042,0.27709678057228154
20,1.0,72.798,72.88311898532407,0.958,0.871,0.782,0.9591006953930881,0.8701867298000884,0.7707140441301304
20,1.5,95.702,102.87950169941057,0.923,0.781,0.634,0.8969765525103182,0.7506333071812181,0.6146653061725106
20,2.0,121.116,124.38042440618608,0.834,0.668,0.55,0.8253748171282702,0.6622180778261926,0.5325583595935287
